respectively,각각
coordinator,"진행 담당자, 조정 담당자"
whereas,~인 반면
struggle ,힘겨워하다
budget,저가의
spring up,마구 솟아나다
utilize,"활용하다, 이용하다"
revenue ,"수입, 수익"
stalled,정지된
infrastructure,(사회)기반 시설
undergo ,겪다
tour amenities,관광 편의 시설
compiled,"수집, 엮다, 편집하다"
triumphant ,승리를 거둔
slot,시간대
instructor ,강사
keep fit,건강을 유지
athletic ,"운동, 활발한"
intermediate ,중간
incline ,경사
eligible,자격있는
accompany,동반하다
accompaniment,반주
while,하지만
heavily,"무겁게, 몹시"
contemporary,현대의
down,멈춘
fulfill,"다하다, 이행하다"
inconvenience,불편
malfunctioning,오작동
postpone,연기하다
correspond to,~에 일치하다
advise on,조언하다
speak for,"~을 대변하다, ~을 대표하다"
enthusiasm,열광
jump ship,단체에서 이탈하다
realtor ,부동산 중개인
rucksack,등산용 배낭
belongings,소지품
handy,"능숙한, 편리한, 가까이 있는"
ideal,이상적인
excursion,소풍
