itinerary,일정
admission ,"입장, 가입, 승인"
verify,확인하다
fabric,"직물, 천"
property,부동산
architect,건축가
soar,치솟다
corporation,주식회사
dairy product,유제품
accommodation,숙박시설
spoil,망치다
wonder,궁금해 하다
nutrition,"영양, 음식물"
personnel,"전 직원, 인사과"
wing,부속 건물
intellectual property ,지적재산
shareholder,주주
arrangement ,"조치, 마련"
commitment,"기여, 헌신"
intrusion ,침입
unauthorized,승인되지 않은
engaging ,매력적인
nvestment firm,투자 회사
respectively,각각
coordinator,"진행 담당자, 조정 담당자"
whereas,~인 반면
struggle ,힘겨워하다
budget,저가의
spring up,마구 솟아나다
utilize,"활용하다, 이용하다"
revenue ,"수입, 수익"
stalled,정지된
